time,pv,load
2025-01-01 00:00:00,0.0,1.6481155555555556
2025-01-01 00:15:00,0.0,1.6630133333333332
2025-01-01 00:30:00,0.0,1.6578822222222223
2025-01-01 00:45:00,0.0,1.3295977777777777
2025-01-01 01:00:00,0.0,1.1595088888888887
2025-01-01 01:15:00,0.0,1.32084
2025-01-01 01:30:00,0.0,1.2062888888888887
2025-01-01 01:45:00,0.0,1.1983355555555557
2025-01-01 02:00:00,0.0,1.1785066666666666
2025-01-01 02:15:00,0.0,1.380128888888889
2025-01-01 02:30:00,0.0,1.2720577777777777
2025-01-01 02:45:00,0.0,1.0631155555555556
2025-01-01 03:00:00,0.0,1.1646155555555555
2025-01-01 03:15:00,0.0,1.2960111111111112
2025-01-01 03:30:00,0.0,0.76276
2025-01-01 03:45:00,0.0,0.4846244444444444
2025-01-01 04:00:00,0.0,0.4429022222222222
2025-01-01 04:15:00,0.0,0.5268044444444444
2025-01-01 04:30:00,0.0,0.7715266666666666
2025-01-01 04:45:00,0.0,0.360671111111111
2025-01-01 05:00:00,0.0,0.57736
2025-01-01 05:15:00,0.0,0.5086288888888888
2025-01-01 05:30:00,0.0,0.3580933333333332
2025-01-01 05:45:00,0.0,0.479111111111111
2025-01-01 06:00:00,0.0,0.4977688888888888
2025-01-01 06:15:00,0.0,0.5158422222222222
2025-01-01 06:30:00,0.0,0.5448822222222222
2025-01-01 06:45:00,0.0,0.35744
2025-01-01 07:00:00,0.0,0.5320199999999998
2025-01-01 07:15:00,0.0,0.5674688888888888
2025-01-01 07:30:00,0.0,0.3974977777777778
2025-01-01 07:45:00,0.0,0.5041933333333334
2025-01-01 08:00:00,0.007060550209600207,0.452331111111111
2025-01-01 08:15:00,0.0645422165039399,0.5199333333333332
2025-01-01 08:30:00,0.2597787274157994,0.43866
2025-01-01 08:45:00,0.26299992229464625,0.3892377777777776
2025-01-01 09:00:00,0.10568324130539314,0.5434844444444444
2025-01-01 09:15:00,0.4260584926075017,0.5160533333333333
2025-01-01 09:30:00,0.658778786392452,0.409031111111111
2025-01-01 09:45:00,1.0069659192094977,0.481951111111111
2025-01-01 10:00:00,0.9084278516243515,0.427631111111111
2025-01-01 10:15:00,0.6245193385898687,0.9018266666666666
2025-01-01 10:30:00,0.7570215731384254,1.0269133333333333
2025-01-01 10:45:00,2.211459493495109,0.6836599999999998
2025-01-01 11:00:00,2.650426990287767,1.1231555555555555
